Time,Open,High,Low,Close,Volume,Return,FGI
20230729160000,29295.4,29330.4,29257.3,29267.2,340.29114,-0.0009626484,52
20230729200000,29267.2,29338.1,29256.3,29296.3,373.38287,0.0009943405,52
20230730000000,29296.3,29346.8,29291.8,29337.7,143.64674,0.0014130943,52
20230730040000,29337.7,29378.1,29337.7,29352.1,95.896866,0.0004908494,52
20230730080000,29352.2,29355.8,29308,29318,114.528015,-0.0011651331,52
20230730120000,29318,29330.8,29260.2,29295.6,252.33072,-0.00076404907,52
20230730160000,29295.7,29322,29235.5,29312.4,232.23582,0.00057008956,52
20230730200000,29312.4,29448.8,29281,29351.7,729.5891,0.0013406895,52
20230731000000,29351.8,29410.1,29112.2,29200.1,922.47076,-0.005168377,50
20230731040000,29200.1,29287.9,29030,29282.1,670.3421,0.0028082095,50
20230731080000,29282.1,29530,29263.3,29424.2,1124.2269,0.0048527806,50
20230731120000,29428,29445,29365.7,29379.6,377.09628,-0.0016447054,50
20230731160000,29379.7,29422.9,29336.7,29407.9,377.37604,0.00095988635,50
20230731200000,29408,29476.8,29228.5,29246.9,834.06305,-0.005478088,50
20230801000000,29246.9,29277.8,29111.1,29163.3,747.93994,-0.0028584092,53
20230801040000,29163.4,29300,29121.1,29233.3,549.05316,0.0023968532,53
20230801080000,29233.2,29343.8,28697.6,28835.9,2337.629,-0.013590672,53
20230801120000,28836,28966.7,28807.5,28934.1,692.62933,0.003401984,53
20230801160000,28934.2,28994.1,28857.7,28860.8,440.83853,-0.0025367364,53
20230801200000,28861.3,28978,28570.1,28951.7,1924.0125,0.0031321677,53
20230802000000,28951.7,29334.8,28862.1,29272.6,1739.7532,0.011083991,53
20230802040000,29272.6,29739.3,29181.6,29707.1,2865.9724,0.014843232,53
20230802080000,29708,30039.6,29624.2,29635.8,3874.9302,-0.0024302956,53
20230802120000,29635.8,29721,29569.7,29580.8,942.69965,-0.0018558635,53
20230802160000,29580.9,29582.5,29387.3,29563.9,1837.8733,-0.0005746952,53
20230802200000,29564,29606,29174,29324,1828.7401,-0.008117981,53
20230803000000,29324,29362.9,28923.8,29148.2,2532.91,-0.005995116,52
20230803040000,29148.2,29232.8,29068.5,29184.6,523.53046,0.0012488042,52
20230803080000,29184.5,29274.3,29132.1,29180,424.56982,-0.00015419144,52
20230803120000,29181,29190,29021.4,29044.4,688.6273,-0.0046811146,52
20230803160000,29044.3,29197.9,28970,29143.5,614.2585,0.0034154453,52
20230803200000,29143.6,29430.4,29078.2,29258.6,1283.8707,0.003945978,52
20230804000000,29258.6,29371.3,29142,29284.7,823.2808,0.00089203205,54
20230804040000,29282.1,29362.1,29164.3,29192.4,669.37506,-0.0030632783,54
20230804080000,29192.5,29252,29100,29158,568.9824,-0.0011818104,54
20230804120000,29158,29253.5,29131.4,29211.9,450.96198,0.0018485627,54
20230804160000,29212,29261,29134.3,29166.5,539.0135,-0.001557579,54
20230804200000,29166.6,29329.1,29126.9,29272.1,927.5673,0.0036171512,54
20230805000000,29272,29285.3,28950,29032.4,1270.4722,-0.008185283,50
20230805040000,29032.4,29122.4,28802.2,29112.9,1007.60754,0.002772764,50
20230805080000,29112.9,29152.9,29065.3,29094,512.0571,-0.0006492102,50
20230805120000,29094,29097.4,29036.1,29053,287.1917,-0.0014092253,50
20230805160000,29053,29088.3,29038.7,29046,531.5586,-0.00024093897,50
20230805200000,29046,29088.3,28981.3,29039.9,656.5556,-0.00020999825,50
20230806000000,29040,29099,29006.6,29070.6,181.55203,0.0010537056,49
20230806040000,29070.5,29092.1,29055,29072,99.76768,5.15987E-05,49
20230806080000,29072.1,29080.6,29034.6,29062.9,301.5933,-0.00031642773,49
20230806120000,29062.9,29108.9,29042.3,29091.9,230.14885,0.0009978358,49
20230806160000,29092,29137.3,29043.1,29079.1,334.52786,-0.00044343428,49
20230806200000,29079.1,29079.1,28989.6,29009,309.065,-0.0024106526,49
20230807000000,29008.9,29104.2,28993.1,29087.9,340.32877,0.0027233022,49
20230807040000,29088,29200,29038.5,29086.8,486.5681,-4.1227268E-05,49
20230807080000,29086.9,29228,29021.1,29161.8,484.14505,0.0025750557,49
20230807120000,29161.9,29198,29051.9,29092.1,497.5911,-0.0023935607,49
20230807160000,29092,29148.1,29044,29092.1,354.29422,3.4239438E-06,49
20230807200000,29092,29144.9,28790,28858.9,1512.2692,-0.008012499,49
20230808000000,28858.9,29187.5,28701,29152.4,1553.2445,0.010170173,54
20230808040000,29153.3,29279,29120,29214.3,443.08096,0.0020923875,54
20230808080000,29214.4,29263.3,29144.8,29197,438.7735,-0.00059561006,54
20230808120000,29197.1,29331.4,29185,29187.5,619.9579,-0.0003287864,54
20230808160000,29188.2,29438.6,29171.6,29436.1,1090.4226,0.008493172,54
20230808200000,29437.4,29674.5,29351.1,29536.7,2425.7422,0.00337322,54
20230809000000,29536.7,29959,29535.6,29881.6,2526.6106,0.011677012,50
20230809040000,29881.6,30242.7,29692,29773.2,1870.1747,-0.0036276635,50
20230809080000,29771.2,29882.5,29652.1,29712,1338.0228,-0.0019884726,50
20230809120000,29712,29819.1,29670,29817.9,849.9328,0.0035642297,50
20230809160000,29817.9,29912.4,29745,29888.4,805.6238,0.0023643516,50
20230809200000,29888.4,30137.9,29677.6,29760.2,1845.6617,-0.0042893286,50
20230810000000,29760.8,29775.4,29394,29414.3,1289.7136,-0.011642832,53
20230810040000,29414.3,29626.5,29375.9,29583.9,524.3655,0.00576589,53
20230810080000,29584,29659.9,29565.7,29581.3,570.22845,-9.123914E-05,53
20230810120000,29581.4,29616,29493.9,29511.9,1186.2001,-0.0023494493,53
20230810160000,29512,29557.2,29475,29502,867.9367,-0.00033884522,53
20230810200000,29502.1,29733.4,29390,29467,2029.1218,-0.0011897326,53
20230811000000,29467.1,29473.6,29330.2,29439.8,839.19604,-0.0009264172,51
20230811040000,29439.8,29481.5,29421.5,29455.2,241.09656,0.0005230483,51
20230811080000,29455.3,29502.4,29349.2,29405.7,787.42914,-0.0016839604,51
20230811120000,29405.7,29483.1,29379.2,29413.5,913.39136,0.00026528127,51
20230811160000,29413.5,29449.9,29351.5,29446.5,646.48865,0.0011219338,51
20230811200000,29446.4,29566.4,29354,29396,1110.1412,-0.0017115977,51
20230812000000,29396,29430,29250.8,29399.7,729.19775,0.00012584089,54
20230812040000,29399.9,29443.4,29395.4,29429.6,217.78041,0.0010101809,54
20230812080000,29429.6,29461.8,29379.2,29401,195.92177,-0.00097179745,54
20230812120000,29401.1,29427.6,29380.2,29417.9,380.25742,0.00057143375,54
20230812160000,29417.9,29430.2,29389.4,29423.2,553.4887,0.00018012257,54
20230812200000,29423.2,29455,29406.8,29439.5,325.56995,0.0005540112,54
20230813000000,29439.5,29483.6,29412.6,29415.5,164.48425,-0.00081523124,54
20230813040000,29415.6,29434,29400,29430.1,117.229515,0.0004929357,54
20230813080000,29430.1,29457,29399.9,29420.5,172.74548,-0.0003261834,54
20230813120000,29420.5,29420.5,29364.9,29397.9,205.79091,-0.0007681586,54
20230813160000,29398,29410,29369.1,29382,594.44244,-0.0005442547,54
20230813200000,29382,29392.7,29360,29372.1,350.53568,-0.00033695428,54
20230814000000,29372,29468.1,29329.1,29441.2,314.77292,0.0023559588,50
20230814040000,29441.2,29447.7,29271.7,29302,506.03244,-0.0047280416,50
20230814080000,29302.1,29421.8,29100,29395.3,1752.0723,0.0031806994,50
20230814120000,29395.3,29470.3,29392.1,29420.8,762.1214,0.0008674856,50
20230814160000,29420.9,29493,29384,29410,784.6444,-0.0003704982,50
20230814200000,29410,29673,29330,29600.6,1468.34,0.006480776,50
20230815000000,29600.7,29695,29255,29362.8,1240.3158,-0.00803692,53
20230815040000,29362.8,29472.2,29336.4,29432,346.45456,0.0023566969,53
20230815080000,29432,29456.9,29371.1,29398.6,613.02734,-0.0011348325,53
20230815120000,29398.7,29433.3,29349.9,29408.9,800.11566,0.000346994,53
20230815160000,29408.9,29454.5,29356.4,29364.7,872.9502,-0.0015029862,53
20230815200000,29364.7,29497.7,29314.2,29331.7,902.6282,-0.0011237983,53
20230816000000,29331.7,29369.6,29076.9,29180,1717.4305,-0.005171852,52
20230816040000,29180,29243.4,29136,29201.4,433.1376,0.00073339243,52
20230816080000,29201.4,29259.7,29187.5,29227.7,562.66315,0.0009006016,52
20230816120000,29227.7,29232,29110.3,29194.1,1723.0106,-0.001149581,52
20230816160000,29194.1,29217.1,29101.5,29163.9,489.52332,-0.0010344288,52
20230816200000,29163.9,29207.8,29044,29105.8,1058.1276,-0.0019921756,52
20230817000000,29103.4,29232,28950.8,29113.7,1534.2091,0.00035387027,50
20230817040000,29111.4,29141.9,28721,28730.8,1894.2032,-0.013073903,50
20230817080000,28730.9,28779.1,28326,28653.9,4863.185,-0.0026800414,50
20230817120000,28653.9,28703.5,28600,28620.1,826.69415,-0.0011796224,50
20230817160000,28620.2,28634.7,28481.5,28542.1,1263.2914,-0.0027288282,50
20230817200000,28542.1,28567.4,27865.8,27928.9,6104.4824,-0.021484027,50
20230818000000,27929,28084.2,27676.6,27896.8,3207.2068,-0.0011528955,37
20230818040000,27896.8,27921,24220,26621,24185.846,-0.04573287,37
20230818080000,26620.1,26822.7,26322,26397.8,3329.8843,-0.008350789,37
20230818120000,26397.7,26606.3,26143.8,26425,3946.3865,0.0010342107,37
20230818160000,26425,26607,26385.2,26492.1,1958.61,0.0025392473,37
20230818200000,26492.1,26500,25931.4,26000,3579.0906,-0.018575335,37
20230819000000,26000,26319.8,25600.1,26066.1,5970.7324,0.0025422927,39
20230819040000,26066.1,26243.3,26009.6,26055.6,1213.639,-0.00040282207,39
20230819080000,26055.6,26154.8,25928.6,25967.5,839.31744,-0.003381216,39
20230819120000,25967.9,26009.6,25805.7,25918.1,714.8807,-0.0019177824,39
20230819160000,25918,26000.4,25890,25903.5,477.9774,-0.00055945676,39
20230819200000,25903.6,26222.1,25876.5,26215.3,1111.0159,0.012033122,39
20230820000000,26215.2,26274.7,26031.6,26128.9,963.08606,-0.0032919387,37
20230820040000,26128.9,26158.6,26034,26101.8,362.19806,-0.0010371507,37
20230820080000,26101.8,26207.3,26050,26104.2,388.10495,9.1887814E-05,37
20230820120000,26104.3,26161.3,26050,26086.9,249.96007,-0.0006665718,37
20230820160000,26086.9,26197.5,26061,26180.1,482.45312,0.0035726444,37
20230820200000,26180.1,26215.5,25971.1,26105.8,757.05597,-0.0028379888,37
20230821000000,26105.9,26164.8,26008.1,26137.8,449.08,0.001221961,38
20230821040000,26137.9,26299.8,26137.9,26190.8,489.1778,0.002023896,38
20230821080000,26190.8,26199.2,26073.5,26092.1,477.44366,-0.0037685435,38
20230821120000,26092,26192,26001.4,26025.3,992.8645,-0.002556309,38
20230821160000,26025.2,26088.5,25887.6,26032.9,738.2081,0.00029591212,38
20230821200000,26033,26199.1,25813.2,25912.2,1671.7515,-0.0046402942,38
